# users

# system        name            password        homedir_id      is_unlisted
Dreamland,      vbush,          majestic1,      801,            false
Dreamland,      twalker,        thanksdad,      802,            false
Dreamland,      roppen,         trinity,        803,            false
# DoD,            rnixon,         ,               rnixon,         true
# DoD,            rmcnamara,      ,               rmcnamara,      true
# DoD,            jfkennedy,      ,               jfkennedy,      true
# DoD,            jbowman,        ,               jbowman,        true
# DoD,            fwoods,         ,               fwoods,         true
# DerRiese,       tmasaki,        ,               tmasaki,        true
# DerRiese,       tdempsey,       ,               tdempsey,       true
# DerRiese,       sophia,         ,               sophia,         true
# DerRiese,       samantha,       ,               samantha,       true
# DerRiese,       peter,          ,               peter,          true
# DerRiese,       nbelinksi,      ,               nbelinksi,      true
# DerRiese,       erichtofen,     ,               erichtofen,     true
# DerRiese,       edward,         ,               edward,         true
# DerRiese,       drmaxis,        ,               drmaxis,        true
CIA,            wraborn,        bromlow,        804,            false
CIA,            vbush,          manhattan,      805,            false
CIA,            twalker,        radi0,          806,            false
CIA,            tbrooks,        lauren,         807,            false
CIA,            sagnew,         ,               808,            true
CIA,            rnixon,         checkers,       809,            false
CIA,            rkain,          sunwu,          810,            false
CIA,            rjackson,       saintbridget,   811,            false
CIA,            rhelms,         lerosey,        812,            false
CIA,            lbjohnson,      ladybird,       813,            false
CIA,            jturner,        condor75,       814,            false
CIA,            jmccone,        Berkley22,      815,            false
CIA,            jhudson,        bryant1950,     816,            false
CIA,            jfkennedy,      lancer,         817,            false
CIA,            jehoover,       ,               818,            true
CIA,            jbowman,        uwd,            819,            false
CIA,            hkissinger,     ,               820,            true
CIA,            gweaver,        gedeon,         821,            false
CIA,            fwoods,         philly,         822,            false
CIA,            dking,          mfk,            823,            false
CIA,            bharris,        goskins,        824,            false
CIA,            asmith,         roxy,           825,            false
CIA,            amason,         password,       826,            false
